task_idx,epoch,train_loss,train_acc,train_eval_loss,train_eval_acc,nc1,nc2,nc3,nc4
1,3,1.2766917288303374,0.4925,1.1251229083538055,0.5415,0.0,0.0,0.0,0.0
1,4,1.2360845249891281,0.5065,1.212300556898117,0.5435,0.0,0.0,0.0,0.0
1,5,1.078788557946682,0.5765,1.2673405346274376,0.576,2.7902352809906006,0.490640252828598,0.3022308051586151,0.621
1,6,0.9071568617224693,0.664,1.1686371862888336,0.566,0.0,0.0,0.0,0.0
1,7,0.8812687569856643,0.6745,1.8450194972753524,0.5185,0.0,0.0,0.0,0.0
1,8,0.8233196908235549,0.688,1.0736302343010902,0.6865,0.0,0.0,0.0,0.0
1,9,0.6100771689414978,0.7755,0.5602712161839009,0.7835,0.0,0.0,0.0,0.0
1,10,0.46088601037859916,0.831,0.3753993220627308,0.857,0.897270143032074,0.4451451897621155,0.25412073731422424,0.7845
1,11,0.35633490279316904,0.881,1.499859206676483,0.608,0.0,0.0,0.0,0.0
1,12,0.2726147874444723,0.9065,0.4914799728989601,0.836,0.0,0.0,0.0,0.0
1,13,0.25540044169873,0.9155,0.4730555109679699,0.846,0.0,0.0,0.0,0.0
1,14,0.17576876141130923,0.944,0.44826213680207727,0.882,0.0,0.0,0.0,0.0
1,15,0.15804941955953836,0.948,0.2852060893177986,0.891,0.6618385314941406,0.3348850607872009,0.17475080490112305,0.799
1,16,0.1267132180556655,0.958,0.1421426298469305,0.954,0.0,0.0,0.0,0.0
1,17,0.07432716483250261,0.9765,0.1260801511257887,0.955,0.0,0.0,0.0,0.0
1,18,0.033336488017812374,0.989,0.03501140269916505,0.989,0.0,0.0,0.0,0.0
1,19,0.020830745173152535,0.9965,0.015281951932702214,0.9965,0.0,0.0,0.0,0.0
1,20,0.0076404663454741235,0.9985,0.039004667599219826,0.985,0.37119531631469727,0.17206989228725433,0.11827323585748672,0.943
1,21,0.007541511940653436,0.9985,0.005631779021350667,0.999,0.0,0.0,0.0,0.0
1,22,0.013787239923258312,0.9965,0.016792850256315432,0.9955,0.0,0.0,0.0,0.0
1,23,0.015406337043968961,0.9975,0.02736233620904386,0.993,0.0,0.0,0.0,0.0
1,24,0.04348083360819146,0.984,0.44551508128643036,0.8925,0.0,0.0,0.0,0.0
1,25,0.04410133666358888,0.984,0.09816185876727104,0.965,0.46935901045799255,0.26015976071357727,0.12539561092853546,0.8985
1,26,0.0147358358616475,0.9975,0.01663063128653448,0.999,0.0,0.0,0.0,0.0
1,27,0.004935102100425866,0.999,0.0027242325019324197,1.0,0.0,0.0,0.0,0.0
1,28,0.002501914446183946,1.0,0.0009789456051657907,1.0,0.0,0.0,0.0,0.0
1,29,0.0014527871813334058,1.0,0.0004840128984506009,1.0,0.0,0.0,0.0,0.0
1,30,0.0008381298530730419,1.0,0.000487013831952936,1.0,0.2899254858493805,0.17542819678783417,0.10062221437692642,0.984
1,31,0.0009498989448184147,1.0,0.0004307765310659306,1.0,0.0,0.0,0.0,0.0
1,32,0.003958363805431873,0.9985,0.005914547645661514,0.997,0.0,0.0,0.0,0.0
1,33,0.0031390891561750324,0.9985,0.0010546770173823462,1.0,0.0,0.0,0.0,0.0
1,34,0.0013980423645989504,1.0,0.00048071039040223693,1.0,0.0,0.0,0.0,0.0
1,35,0.0007940363422676456,1.0,0.0003524102665687678,1.0,0.3120410144329071,0.17858648300170898,0.09913623332977295,0.979
1,36,0.0015545702894451097,0.9995,0.0006361694607767277,1.0,0.0,0.0,0.0,0.0
1,37,0.0006665670096117537,1.0,0.00029757315140159333,1.0,0.0,0.0,0.0,0.0
1,38,0.0004952161000983324,1.0,0.00022648830272373744,1.0,0.0,0.0,0.0,0.0
