task_idx,epoch,train_loss,train_acc,test_loss,test_acc,nc1,nc2,nc3,nc4
0,30,0.7116692900657654,0.7137777777777777,2.2001893758773803,0.176,"tensor(9.1239, device='cuda:0')",0.46529558300971985,0.9312681555747986,0.166
0,31,0.6545001018047333,0.7431111111111111,41.64795074462891,0.2,0.0,0.0,0.0,0.0
0,32,0.6186526370048523,0.7515555555555555,3.8525654315948485,0.2,0.0,0.0,0.0,0.0
0,33,0.560410522222519,0.7844444444444445,3.585878276824951,0.218,0.0,0.0,0.0,0.0
0,34,0.5343623113632202,0.7902222222222223,5.958945369720459,0.286,0.0,0.0,0.0,0.0
0,35,0.45478052854537965,0.8302222222222222,5.746382141113282,0.198,0.0,0.0,0.0,0.0
0,36,0.40098837852478025,0.852,19.029656219482423,0.2,0.0,0.0,0.0,0.0
0,37,0.3756874740123749,0.8586666666666667,4.557072019577026,0.2,0.0,0.0,0.0,0.0
0,38,0.3208460980653763,0.8813333333333333,11.537089729309082,0.2,0.0,0.0,0.0,0.0
0,39,0.276664103269577,0.8995555555555556,8.931917572021485,0.2,0.0,0.0,0.0,0.0
0,40,0.20676154136657715,0.9275555555555556,4.7047765254974365,0.248,"tensor(8.7971, device='cuda:0')",0.13521116971969604,0.9886490106582642,0.248
0,41,0.1650846353173256,0.9502222222222222,2.4654391765594483,0.37,0.0,0.0,0.0,0.0
0,42,0.13563987374305725,0.9502222222222222,5.83990707397461,0.202,0.0,0.0,0.0,0.0
0,43,0.11857086718082428,0.9604444444444444,14.36177043914795,0.2,0.0,0.0,0.0,0.0
0,44,0.12761170357465745,0.9537777777777777,7.808967781066895,0.2,0.0,0.0,0.0,0.0
0,45,0.112257589250803,0.9564444444444444,18.562113189697264,0.2,0.0,0.0,0.0,0.0
0,46,0.11150086298584938,0.9617777777777777,11.938554000854491,0.2,0.0,0.0,0.0,0.0
0,47,0.07391204833984374,0.9782222222222222,8.82820634841919,0.2,0.0,0.0,0.0,0.0
0,48,0.04857909306883812,0.9862222222222222,8.353537654876709,0.2,0.0,0.0,0.0,0.0
0,49,0.038031848184764384,0.9888888888888889,4.542842960357666,0.208,0.0,0.0,0.0,0.0
0,50,0.01790409252047539,0.9977777777777778,6.579220867156982,0.2,"tensor(5.9954, device='cuda:0')",0.22087499499320984,0.9847832918167114,0.196
0,51,0.010195173518732191,0.9995555555555555,4.170314311981201,0.218,0.0,0.0,0.0,0.0
0,52,0.01819859896786511,0.9946666666666667,3.1658451080322267,0.2,0.0,0.0,0.0,0.0
0,53,0.03363440265879035,0.9888888888888889,6.14761962890625,0.2,0.0,0.0,0.0,0.0
0,54,0.027705005668103695,0.9933333333333333,7.012845993041992,0.234,0.0,0.0,0.0,0.0
0,55,0.037091170325875285,0.9888888888888889,11.464045333862305,0.2,0.0,0.0,0.0,0.0
0,56,0.04383858341723681,0.9871111111111112,5.225114631652832,0.212,0.0,0.0,0.0,0.0
0,57,0.054322102665901185,0.984,2.2347234964370726,0.432,0.0,0.0,0.0,0.0
0,58,0.045155035145580766,0.9875555555555555,4.7204183578491214,0.198,0.0,0.0,0.0,0.0
0,59,0.050613392144441605,0.9822222222222222,16.693791961669923,0.2,0.0,0.0,0.0,0.0
0,60,0.06066963210701942,0.9791111111111112,24.978883361816408,0.2,"tensor(11.2329, device='cuda:0')",0.04064946249127388,0.9981951117515564,0.298
